x,y,code
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
690.5,330.5,1
688.5,331.5,0
688.5,331.5,0
688.5,331.5,0
688.5,331.5,0
688.5,334.5,0
688.5,334.5,0
688.5,334.5,0
687.5,334.5,1
685.5,334.5,0
685.5,334.5,0
682.5,334.5,0
679.5,334.5,0
676.5,334.5,0
670.5,337.5,0
667.5,339.5,1
679.5,337.5,0
679.5,337.5,0
679.5,337.5,0
680.5,338.5,1
679.5,337.5,0
676.5,337.5,0
676.5,337.5,0
673.5,337.5,0
673.5,337.5,0
670.5,337.5,0
667.5,337.5,0
664.5,337.5,0
661.5,337.5,0
658.5,334.5,0
655.5,334.5,0
652.5,331.5,0
646.5,331.5,0
643.5,328.5,0
637.5,325.5,0
631.5,325.5,0
626.5,322.5,1
619.5,319.5,0
616.5,316.5,0
607.5,313.5,0
598.5,310.5,0
592.5,307.5,0
583.5,304.5,0
574.5,301.5,0
568.5,299.5,1
558.5,292.5,1
550.5,286.5,0
544.5,284.5,1
532.5,280.5,0
517.5,274.5,0
505.5,268.5,0
499.5,265.5,0
488.5,261.5,1
475.5,256.5,0
469.5,253.5,0
457.5,247.5,0
445.5,241.5,0
439.5,241.5,0
427.5,235.5,0
415.5,229.5,0
409.5,226.5,0
400.5,223.5,0
388.5,220.5,0
382.5,217.5,0
376.5,214.5,0
361.5,208.5,0
355.5,205.5,0
352.5,205.5,0
343.5,202.5,0
334.5,199.5,0
328.5,196.5,0
324.5,195.5,1
319.5,193.5,0
316.5,193.5,0
310.5,190.5,0
307.5,189.5,1
307.5,190.5,0
307.5,193.5,0
310.5,193.5,0
310.5,193.5,0
313.5,196.5,0
316.5,199.5,0
322.5,202.5,0
328.5,205.5,0
334.5,208.5,0
343.5,211.5,0
346.5,214.5,0
355.5,217.5,0
364.5,223.5,0
370.5,225.5,1
382.5,229.5,0
391.5,235.5,0
397.5,238.5,0
409.5,244.5,0
421.5,250.5,0
427.5,253.5,0
439.5,256.5,0
451.5,262.5,0
463.5,268.5,0
469.5,271.5,0
481.5,277.5,0
494.5,282.5,1
499.5,283.5,0
511.5,289.5,0
523.5,295.5,0
529.5,298.5,0
541.5,304.5,0
553.5,307.5,0
561.5,310.5,1
574.5,313.5,0
583.5,319.5,0
586.5,322.5,0
589.5,325.5,0
598.5,331.5,0
604.5,334.5,0
610.5,337.5,0
