x,y,code
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
710.5,328.5,1
709.5,328.5,0
709.5,328.5,0
709.5,328.5,0
709.5,328.5,0
706.5,328.5,0
706.5,328.5,0
703.5,328.5,0
700.5,328.5,0
700.5,328.5,0
697.5,328.5,0
694.5,328.5,0
694.5,328.5,0
685.5,325.5,0
682.5,325.5,0
679.5,325.5,0
676.5,325.5,0
673.5,325.5,0
670.5,324.5,1
667.5,325.5,0
664.5,322.5,0
661.5,319.5,0
658.5,319.5,0
652.5,316.5,0
649.5,316.5,0
646.5,316.5,0
643.5,312.5,1
637.5,310.5,0
634.5,310.5,0
628.5,304.5,0
625.5,301.5,0
619.5,298.5,0
616.5,295.5,0
610.5,292.5,0
602.5,287.5,1
598.5,286.5,0
592.5,280.5,0
583.5,274.5,0
580.5,271.5,0
571.5,265.5,0
562.5,259.5,0
556.5,256.5,0
547.5,250.5,0
538.5,247.5,0
535.5,244.5,0
526.5,238.5,0
517.5,232.5,0
512.5,230.5,1
505.5,226.5,0
496.5,220.5,0
487.5,217.5,0
484.5,214.5,0
475.5,211.5,0
469.5,208.5,0
463.5,205.5,0
457.5,202.5,0
451.5,199.5,0
448.5,199.5,0
442.5,196.5,0
436.5,193.5,0
435.5,194.5,1
430.5,193.5,0
427.5,193.5,0
424.5,193.5,0
424.5,193.5,0
421.5,193.5,0
418.5,193.5,0
418.5,193.5,0
418.5,193.5,0
421.5,196.5,0
424.5,199.5,0
424.5,199.5,1
427.5,202.5,0
430.5,205.5,0
433.5,208.5,0
436.5,211.5,0
439.5,214.5,0
445.5,217.5,0
448.5,223.5,0
454.5,229.5,0
457.5,232.5,0
463.5,238.5,0
472.5,244.5,0
475.5,247.5,0
484.5,253.5,0
493.5,259.5,0
496.5,262.5,0
505.5,268.5,0
514.5,274.5,0
520.5,277.5,0
529.5,283.5,0
538.5,289.5,0
544.5,292.5,0
553.5,298.5,0
562.5,304.5,0
568.5,307.5,0
577.5,313.5,0
586.5,319.5,0
595.5,325.5,0
598.5,328.5,0
607.5,334.5,0
616.5,337.5,0
619.5,340.5,0
628.5,343.5,0
634.5,352.5,0
637.5,351.5,1
643.5,352.5,1
649.5,355.5,0
652.5,355.5,0
658.5,358.5,0
664.5,361.5,0
667.5,364.5,1
672.5,363.5,1
679.5,372.5,1
685.5,373.5,0
691.5,373.5,0
